home_team,away_team,game_date,home_result
Cincinnati Royals,Portland Trail Blazers,24 November 1971,W
Seattle SuperSonics,Los Angeles Lakers,25 November 1971,L
Phoenix Suns,Detroit Pistons,25 November 1971,W
Golden State Warriors,Philadelphia 76ers,25 November 1971,L
Boston Celtics,New York Knicks,26 November 1971,L
Los Angeles Lakers,Detroit Pistons,26 November 1971,W
Cleveland Cavaliers,Cincinnati Royals,26 November 1971,W
Chicago Bulls,Golden State Warriors,26 November 1971,W
Milwaukee Bucks,Portland Trail Blazers,26 November 1971,W
Atlanta Hawks,Baltimore Bullets,26 November 1971,L
Cincinnati Royals,Milwaukee Bucks,27 November 1971,L
New York Knicks,Chicago Bulls,27 November 1971,W
Atlanta Hawks,Cleveland Cavaliers,27 November 1971,L
Philadelphia 76ers,Portland Trail Blazers,27 November 1971,W
Baltimore Bullets,Boston Celtics,27 November 1971,W
Seattle SuperSonics,Detroit Pistons,27 November 1971,W
Buffalo Braves,Golden State Warriors,27 November 1971,L
Houston Rockets,Phoenix Suns,28 November 1971,L
Los Angeles Lakers,Seattle SuperSonics,28 November 1971,W
Boston Celtics,Atlanta Hawks,28 November 1971,W
Cleveland Cavaliers,Philadelphia 76ers,28 November 1971,W
Milwaukee Bucks,Golden State Warriors,30 November 1971,L
Buffalo Braves,Houston Rockets,30 November 1971,L
Chicago Bulls,Atlanta Hawks,30 November 1971,W
Portland Trail Blazers,Phoenix Suns,30 November 1971,L
New York Knicks,Seattle SuperSonics,30 November 1971,L
Baltimore Bullets,Cincinnati Royals,30 November 1971,L
Cincinnati Royals,Chicago Bulls,01 December 1971,L
Phoenix Suns,Portland Trail Blazers,01 December 1971,W
Detroit Pistons,Atlanta Hawks,01 December 1971,L
Cleveland Cavaliers,Houston Rockets,01 December 1971,W
Philadelphia 76ers,Seattle SuperSonics,01 December 1971,W
Boston Celtics,Los Angeles Lakers,01 December 1971,L
Buffalo Braves,Baltimore Bullets,02 December 1971,W
Chicago Bulls,New York Knicks,03 December 1971,W
Baltimore Bullets,Seattle SuperSonics,03 December 1971,L
Detroit Pistons,Houston Rockets,03 December 1971,W
Milwaukee Bucks,Cincinnati Royals,03 December 1971,W
Portland Trail Blazers,Golden State Warriors,03 December 1971,W
Buffalo Braves,Cleveland Cavaliers,03 December 1971,W
Philadelphia 76ers,Los Angeles Lakers,03 December 1971,L
Cincinnati Royals,Seattle SuperSonics,04 December 1971,L
New York Knicks,Buffalo Braves,04 December 1971,W
Golden State Warriors,Phoenix Suns,04 December 1971,L
Milwaukee Bucks,Chicago Bulls,04 December 1971,W
Boston Celtics,Houston Rockets,04 December 1971,W
Atlanta Hawks,Philadelphia 76ers,04 December 1971,W
Los Angeles Lakers,Portland Trail Blazers,05 December 1971,W
Phoenix Suns,Golden State Warriors,05 December 1971,W
Cleveland Cavaliers,Seattle SuperSonics,05 December 1971,L
New York Knicks,Boston Celtics,07 December 1971,L
Milwaukee Bucks,Seattle SuperSonics,07 December 1971,W
Golden State Warriors,Atlanta Hawks,07 December 1971,L
Chicago Bulls,Cleveland Cavaliers,07 December 1971,W
Detroit Pistons,Portland Trail Blazers,07 December 1971,L
Buffalo Braves,Cincinnati Royals,07 December 1971,W
Cincinnati Royals,Philadelphia 76ers,08 December 1971,L
Houston Rockets,Los Angeles Lakers,08 December 1971,L
Boston Celtics,Cleveland Cavaliers,08 December 1971,W
Baltimore Bullets,Portland Trail Blazers,08 December 1971,W
Golden State Warriors,Los Angeles Lakers,09 December 1971,L
Phoenix Suns,Atlanta Hawks,09 December 1971,W
Detroit Pistons,Chicago Bulls,09 December 1971,W
Cleveland Cavaliers,Detroit Pistons,10 December 1971,W
Chicago Bulls,Baltimore Bullets,10 December 1971,W
Houston Rockets,Atlanta Hawks,10 December 1971,W
Seattle SuperSonics,Golden State Warriors,10 December 1971,W
Milwaukee Bucks,Boston Celtics,10 December 1971,W
Los Angeles Lakers,Phoenix Suns,10 December 1971,W
Philadelphia 76ers,Cincinnati Royals,10 December 1971,L
Buffalo Braves,Portland Trail Blazers,10 December 1971,L
Detroit Pistons,Philadelphia 76ers,11 December 1971,L
New York Knicks,Portland Trail Blazers,11 December 1971,W
Cincinnati Royals,Cleveland Cavaliers,11 December 1971,W
Phoenix Suns,Houston Rockets,11 December 1971,L
Baltimore Bullets,Milwaukee Bucks,11 December 1971,L
Boston Celtics,Chicago Bulls,11 December 1971,L
Cleveland Cavaliers,New York Knicks,12 December 1971,L
Cincinnati Royals,Boston Celtics,12 December 1971,L
Los Angeles Lakers,Atlanta Hawks,12 December 1971,W
Houston Rockets,Seattle SuperSonics,12 December 1971,W
Buffalo Braves,Philadelphia 76ers,14 December 1971,W
Chicago Bulls,Boston Celtics,14 December 1971,L
Portland Trail Blazers,Los Angeles Lakers,14 December 1971,L
New York Knicks,Phoenix Suns,14 December 1971,L
Baltimore Bullets,Cleveland Cavaliers,14 December 1971,L
Detroit Pistons,Seattle SuperSonics,14 December 1971,L
Milwaukee Bucks,Houston Rockets,14 December 1971,W
Milwaukee Bucks,Buffalo Braves,15 December 1971,W
Atlanta Hawks,Houston Rockets,15 December 1971,L
Boston Celtics,Seattle SuperSonics,15 December 1971,W
Cincinnati Royals,Phoenix Suns,15 December 1971,L
Golden State Warriors,Philadelphia 76ers,16 December 1971,W
Detroit Pistons,Cincinnati Royals,16 December 1971,W
Cleveland Cavaliers,Boston Celtics,17 December 1971,L
Los Angeles Lakers,Golden State Warriors,17 December 1971,W
Portland Trail Blazers,Philadelphia 76ers,17 December 1971,W
Chicago Bulls,Houston Rockets,17 December 1971,L
Phoenix Suns,Detroit Pistons,17 December 1971,W
Buffalo Braves,New York Knicks,17 December 1971,L
Baltimore Bullets,Atlanta Hawks,17 December 1971,W
Milwaukee Bucks,Seattle SuperSonics,17 December 1971,W
Phoenix Suns,Los Angeles Lakers,18 December 1971,L
Cincinnati Royals,Houston Rockets,18 December 1971,L
Seattle SuperSonics,Portland Trail Blazers,18 December 1971,W
Atlanta Hawks,Baltimore Bullets,18 December 1971,W
Boston Celtics,Buffalo Braves,18 December 1971,W
Golden State Warriors,Detroit Pistons,18 December 1971,W
New York Knicks,Cleveland Cavaliers,18 December 1971,W
Milwaukee Bucks,Baltimore Bullets,19 December 1971,W
Portland Trail Blazers,Detroit Pistons,19 December 1971,W
Cleveland Cavaliers,Chicago Bulls,19 December 1971,L
Atlanta Hawks,Cincinnati Royals,19 December 1971,W
Los Angeles Lakers,Philadelphia 76ers,19 December 1971,W
Seattle SuperSonics,Phoenix Suns,19 December 1971,W
Portland Trail Blazers,Houston Rockets,21 December 1971,L
Chicago Bulls,Detroit Pistons,21 December 1971,W
Golden State Warriors,New York Knicks,21 December 1971,L
Phoenix Suns,Philadelphia 76ers,21 December 1971,W
Buffalo Braves,Los Angeles Lakers,21 December 1971,L
Seattle SuperSonics,New York Knicks,22 December 1971,L
Milwaukee Bucks,Boston Celtics,22 December 1971,L
Baltimore Bullets,Los Angeles Lakers,22 December 1971,L
Cincinnati Royals,Atlanta Hawks,22 December 1971,L
Detroit Pistons,Cleveland Cavaliers,22 December 1971,W
Portland Trail Blazers,New York Knicks,23 December 1971,L
Cleveland Cavaliers,Atlanta Hawks,23 December 1971,W
Phoenix Suns,Chicago Bulls,23 December 1971,L
Cincinnati Royals,Boston Celtics,25 December 1971,L
Philadelphia 76ers,Baltimore Bullets,25 December 1971,L
Detroit Pistons,Milwaukee Bucks,25 December 1971,W
Portland Trail Blazers,Chicago Bulls,25 December 1971,L
New York Knicks,Golden State Warriors,25 December 1971,W
Atlanta Hawks,Buffalo Braves,25 December 1971,W
Phoenix Suns,Seattle SuperSonics,25 December 1971,W
Cleveland Cavaliers,Baltimore Bullets,26 December 1971,W
Milwaukee Bucks,Atlanta Hawks,26 December 1971,W
Seattle SuperSonics,Chicago Bulls,26 December 1971,L
Los Angeles Lakers,Houston Rockets,26 December 1971,W
Buffalo Braves,Philadelphia 76ers,27 December 1971,L
Boston Celtics,Golden State Warriors,27 December 1971,W
Atlanta Hawks,Portland Trail Blazers,27 December 1971,W
Baltimore Bullets,Cincinnati Royals,28 December 1971,W
Detroit Pistons,New York Knicks,28 December 1971,L
Philadelphia 76ers,Boston Celtics,28 December 1971,L
Cleveland Cavaliers,Portland Trail Blazers,28 December 1971,W
Chicago Bulls,Milwaukee Bucks,28 December 1971,W
Los Angeles Lakers,Buffalo Braves,28 December 1971,W
Milwaukee Bucks,Portland Trail Blazers,29 December 1971,W
Cincinnati Royals,Golden State Warriors,29 December 1971,L
Philadelphia 76ers,Cleveland Cavaliers,29 December 1971,L
Houston Rockets,Phoenix Suns,29 December 1971,L
Phoenix Suns,Buffalo Braves,30 December 1971,W
Seattle SuperSonics,Los Angeles Lakers,30 December 1971,L
Houston Rockets,Atlanta Hawks,30 December 1971,W
Detroit Pistons,Golden State Warriors,30 December 1971,L
Chicago Bulls,Portland Trail Blazers,30 December 1971,W
New York Knicks,Baltimore Bullets,30 December 1971,L
Boston Celtics,Philadelphia 76ers,31 December 1971,W
Phoenix Suns,Boston Celtics,01 January 1972,W
Seattle SuperSonics,Buffalo Braves,01 January 1972,W
New York Knicks,Cincinnati Royals,01 January 1972,W
Phoenix Suns,Atlanta Hawks,02 January 1972,L
Cleveland Cavaliers,Philadelphia 76ers,02 January 1972,L
Houston Rockets,Detroit Pistons,02 January 1972,L
Portland Trail Blazers,Buffalo Braves,02 January 1972,W
Los Angeles Lakers,Boston Celtics,02 January 1972,W
New York Knicks,Milwaukee Bucks,03 January 1972,W
Milwaukee Bucks,New York Knicks,04 January 1972,W
Detroit Pistons,Philadelphia 76ers,04 January 1972,L
Houston Rockets,Seattle SuperSonics,04 January 1972,W
Chicago Bulls,Phoenix Suns,04 January 1972,L
Portland Trail Blazers,Atlanta Hawks,04 January 1972,L
Golden State Warriors,Buffalo Braves,04 January 1972,W
Cleveland Cavaliers,Los Angeles Lakers,05 January 1972,L
Seattle SuperSonics,Atlanta Hawks,05 January 1972,W
Philadelphia 76ers,Chicago Bulls,05 January 1972,L
Houston Rockets,Boston Celtics,05 January 1972,L
Baltimore Bullets,Detroit Pistons,05 January 1972,W
Cincinnati Royals,Milwaukee Bucks,05 January 1972,L
Golden State Warriors,Portland Trail Blazers,06 January 1972,W
Portland Trail Blazers,Boston Celtics,07 January 1972,L
Buffalo Braves,Phoenix Suns,07 January 1972,L
Atlanta Hawks,Los Angeles Lakers,07 January 1972,L
Detroit Pistons,Cincinnati Royals,07 January 1972,W
Chicago Bulls,Baltimore Bullets,07 January 1972,L
Seattle SuperSonics,Cleveland Cavaliers,07 January 1972,W
Philadelphia 76ers,New York Knicks,07 January 1972,W
Golden State Warriors,Boston Celtics,08 January 1972,W
Baltimore Bullets,Atlanta Hawks,08 January 1972,W
Philadelphia 76ers,Phoenix Suns,08 January 1972,W
Cincinnati Royals,Buffalo Braves,08 January 1972,L
New York Knicks,Chicago Bulls,08 January 1972,L
Portland Trail Blazers,Cleveland Cavaliers,08 January 1972,W
Milwaukee Bucks,Detroit Pistons,08 January 1972,W
Houston Rockets,Golden State Warriors,09 January 1972,L
Detroit Pistons,Buffalo Braves,09 January 1972,W
Seattle SuperSonics,Boston Celtics,09 January 1972,W
Baltimore Bullets,Phoenix Suns,09 January 1972,W
Chicago Bulls,Cincinnati Royals,09 January 1972,W
Milwaukee Bucks,Los Angeles Lakers,09 January 1972,W
Detroit Pistons,Los Angeles Lakers,11 January 1972,L
Milwaukee Bucks,Phoenix Suns,11 January 1972,L
Chicago Bulls,New York Knicks,11 January 1972,W
Buffalo Braves,Cincinnati Royals,11 January 1972,L
Seattle SuperSonics,Houston Rockets,11 January 1972,W
Golden State Warriors,Cleveland Cavaliers,11 January 1972,W
Portland Trail Blazers,Baltimore Bullets,11 January 1972,W
Philadelphia 76ers,Buffalo Braves,12 January 1972,L
Cincinnati Royals,Los Angeles Lakers,12 January 1972,W
Atlanta Hawks,Milwaukee Bucks,12 January 1972,W
Boston Celtics,Chicago Bulls,12 January 1972,W
Seattle SuperSonics,Baltimore Bullets,13 January 1972,W
Philadelphia 76ers,Los Angeles Lakers,14 January 1972,L
Phoenix Suns,Cleveland Cavaliers,14 January 1972,W
Boston Celtics,Detroit Pistons,14 January 1972,W
Milwaukee Bucks,Chicago Bulls,14 January 1972,W
Golden State Warriors,New York Knicks,14 January 1972,W
Cincinnati Royals,Atlanta Hawks,14 January 1972,W
Buffalo Braves,Portland Trail Blazers,14 January 1972,L
Atlanta Hawks,Boston Celtics,15 January 1972,L
Detroit Pistons,Philadelphia 76ers,15 January 1972,L
Houston Rockets,Cleveland Cavaliers,15 January 1972,W
Seattle SuperSonics,Phoenix Suns,15 January 1972,W
Chicago Bulls,Portland Trail Blazers,15 January 1972,W
Golden State Warriors,Baltimore Bullets,15 January 1972,W
Cincinnati Royals,Cleveland Cavaliers,16 January 1972,W
Houston Rockets,New York Knicks,16 January 1972,L
Milwaukee Bucks,Portland Trail Blazers,16 January 1972,W
Phoenix Suns,Baltimore Bullets,16 January 1972,L
Atlanta Hawks,Philadelphia 76ers,16 January 1972,W
Phoenix Suns,New York Knicks,20 January 1972,W
Cincinnati Royals,Houston Rockets,20 January 1972,L
Boston Celtics,Houston Rockets,21 January 1972,W
Seattle SuperSonics,Phoenix Suns,21 January 1972,L
Buffalo Braves,Chicago Bulls,21 January 1972,L
Milwaukee Bucks,Cleveland Cavaliers,21 January 1972,W
Atlanta Hawks,Golden State Warriors,21 January 1972,L
Los Angeles Lakers,New York Knicks,21 January 1972,L
Philadelphia 76ers,Portland Trail Blazers,21 January 1972,W
Detroit Pistons,Baltimore Bullets,21 January 1972,W
Chicago Bulls,Houston Rockets,22 January 1972,W
Cincinnati Royals,Cleveland Cavaliers,22 January 1972,W
Phoenix Suns,Los Angeles Lakers,22 January 1972,W
Baltimore Bullets,Portland Trail Blazers,22 January 1972,W
Philadelphia 76ers,Golden State Warriors,22 January 1972,L
Seattle SuperSonics,New York Knicks,23 January 1972,L
Milwaukee Bucks,Atlanta Hawks,23 January 1972,L
Boston Celtics,Portland Trail Blazers,23 January 1972,W
Baltimore Bullets,Cincinnati Royals,23 January 1972,W
Detroit Pistons,Houston Rockets,23 January 1972,L
Chicago Bulls,Golden State Warriors,24 January 1972,W
New York Knicks,Boston Celtics,25 January 1972,W
Los Angeles Lakers,Phoenix Suns,25 January 1972,W
Houston Rockets,Portland Trail Blazers,25 January 1972,W
Buffalo Braves,Atlanta Hawks,25 January 1972,L
Cleveland Cavaliers,Golden State Warriors,25 January 1972,L
Milwaukee Bucks,Seattle SuperSonics,25 January 1972,W
Detroit Pistons,Milwaukee Bucks,26 January 1972,L
Boston Celtics,Cleveland Cavaliers,26 January 1972,L
Philadelphia 76ers,Cincinnati Royals,26 January 1972,W
Atlanta Hawks,Seattle SuperSonics,26 January 1972,L
Houston Rockets,Chicago Bulls,26 January 1972,L
Baltimore Bullets,Buffalo Braves,26 January 1972,W
Golden State Warriors,Chicago Bulls,27 January 1972,W
Atlanta Hawks,Detroit Pistons,28 January 1972,W
Portland Trail Blazers,Golden State Warriors,28 January 1972,L
Philadelphia 76ers,Milwaukee Bucks,28 January 1972,L
Los Angeles Lakers,Houston Rockets,28 January 1972,W
Boston Celtics,New York Knicks,28 January 1972,W
Phoenix Suns,Chicago Bulls,28 January 1972,L
Cincinnati Royals,Baltimore Bullets,28 January 1972,L
Buffalo Braves,Seattle SuperSonics,28 January 1972,L
Cleveland Cavaliers,Cincinnati Royals,29 January 1972,L
Detroit Pistons,Boston Celtics,29 January 1972,L
New York Knicks,Seattle SuperSonics,29 January 1972,W
Golden State Warriors,Phoenix Suns,29 January 1972,W
Chicago Bulls,Detroit Pistons,30 January 1972,W
Phoenix Suns,Atlanta Hawks,30 January 1972,W
Baltimore Bullets,Milwaukee Bucks,30 January 1972,L
Cleveland Cavaliers,Buffalo Braves,30 January 1972,L
Boston Celtics,Philadelphia 76ers,30 January 1972,W
Los Angeles Lakers,Portland Trail Blazers,30 January 1972,W
Buffalo Braves,Cleveland Cavaliers,01 February 1972,L
Chicago Bulls,Seattle SuperSonics,01 February 1972,L
Portland Trail Blazers,Phoenix Suns,01 February 1972,L
Golden State Warriors,Milwaukee Bucks,01 February 1972,L
Baltimore Bullets,Boston Celtics,01 February 1972,L
New York Knicks,Detroit Pistons,01 February 1972,W
Phoenix Suns,Milwaukee Bucks,02 February 1972,L
Detroit Pistons,Cleveland Cavaliers,02 February 1972,W
Philadelphia 76ers,Buffalo Braves,02 February 1972,W
Houston Rockets,Seattle SuperSonics,02 February 1972,W
Boston Celtics,Chicago Bulls,02 February 1972,W
Cincinnati Royals,New York Knicks,02 February 1972,W
Golden State Warriors,Atlanta Hawks,03 February 1972,W
Portland Trail Blazers,Houston Rockets,04 February 1972,W
Boston Celtics,Cincinnati Royals,04 February 1972,W
Los Angeles Lakers,Milwaukee Bucks,04 February 1972,W
Buffalo Braves,New York Knicks,04 February 1972,L
Cleveland Cavaliers,Seattle SuperSonics,04 February 1972,L
Baltimore Bullets,Chicago Bulls,04 February 1972,L
Philadelphia 76ers,Detroit Pistons,04 February 1972,L
Phoenix Suns,Golden State Warriors,04 February 1972,W
Cincinnati Royals,Detroit Pistons,05 February 1972,W
New York Knicks,Philadelphia 76ers,05 February 1972,W
Portland Trail Blazers,Phoenix Suns,05 February 1972,L
Atlanta Hawks,Cleveland Cavaliers,05 February 1972,W
Houston Rockets,Milwaukee Bucks,05 February 1972,L
Golden State Warriors,Los Angeles Lakers,05 February 1972,L
Chicago Bulls,Buffalo Braves,05 February 1972,W
Philadelphia 76ers,New York Knicks,06 February 1972,L
Phoenix Suns,Portland Trail Blazers,06 February 1972,W
Cleveland Cavaliers,Buffalo Braves,06 February 1972,L
Los Angeles Lakers,Baltimore Bullets,06 February 1972,W
Chicago Bulls,Cincinnati Royals,06 February 1972,W
Houston Rockets,Atlanta Hawks,06 February 1972,W
Boston Celtics,Seattle SuperSonics,06 February 1972,W
Portland Trail Blazers,Cincinnati Royals,08 February 1972,W
Golden State Warriors,Baltimore Bullets,08 February 1972,W
Seattle SuperSonics,Houston Rockets,08 February 1972,W
Buffalo Braves,Milwaukee Bucks,08 February 1972,L
Chicago Bulls,Cleveland Cavaliers,08 February 1972,W
New York Knicks,Los Angeles Lakers,08 February 1972,L
Phoenix Suns,Philadelphia 76ers,08 February 1972,W
Cleveland Cavaliers,Milwaukee Bucks,09 February 1972,L
Boston Celtics,Buffalo Braves,09 February 1972,W
Detroit Pistons,New York Knicks,09 February 1972,L
Atlanta Hawks,Los Angeles Lakers,09 February 1972,L
Seattle SuperSonics,Cincinnati Royals,10 February 1972,W
Golden State Warriors,Philadelphia 76ers,10 February 1972,W
Phoenix Suns,Baltimore Bullets,10 February 1972,W
Chicago Bulls,Atlanta Hawks,11 February 1972,W
Boston Celtics,Los Angeles Lakers,11 February 1972,W
Milwaukee Bucks,New York Knicks,11 February 1972,L
Houston Rockets,Baltimore Bullets,11 February 1972,W
Buffalo Braves,Detroit Pistons,11 February 1972,W
Portland Trail Blazers,Philadelphia 76ers,11 February 1972,W
Atlanta Hawks,Chicago Bulls,12 February 1972,L
Detroit Pistons,Buffalo Braves,12 February 1972,W
Phoenix Suns,Cincinnati Royals,12 February 1972,W
New York Knicks,Cleveland Cavaliers,12 February 1972,W
Seattle SuperSonics,Portland Trail Blazers,12 February 1972,W
Milwaukee Bucks,Golden State Warriors,12 February 1972,W
Cleveland Cavaliers,Detroit Pistons,13 February 1972,L
Houston Rockets,Cincinnati Royals,13 February 1972,W
Atlanta Hawks,Buffalo Braves,13 February 1972,W
Baltimore Bullets,Los Angeles Lakers,13 February 1972,L
Boston Celtics,Milwaukee Bucks,13 February 1972,L
Chicago Bulls,Golden State Warriors,13 February 1972,L
Portland Trail Blazers,Seattle SuperSonics,13 February 1972,L
Philadelphia 76ers,Houston Rockets,14 February 1972,L
Baltimore Bullets,Houston Rockets,15 February 1972,W
Los Angeles Lakers,Cincinnati Royals,15 February 1972,W
Portland Trail Blazers,Boston Celtics,15 February 1972,L
Buffalo Braves,Golden State Warriors,15 February 1972,L
Detroit Pistons,Atlanta Hawks,15 February 1972,L
Philadelphia 76ers,Cleveland Cavaliers,16 February 1972,W
Phoenix Suns,Los Angeles Lakers,16 February 1972,W
Seattle SuperSonics,Boston Celtics,16 February 1972,W
New York Knicks,Houston Rockets,16 February 1972,W
Atlanta Hawks,Baltimore Bullets,16 February 1972,W
Cincinnati Royals,Milwaukee Bucks,17 February 1972,L
