home_team,away_team,game_date,home_result
Providence Steamrollers,Chicago Stags,03 January 1948,L
St. Louis Bombers,Philadelphia Warriors,04 January 1948,W
Baltimore Bullets,Providence Steamrollers,06 January 1948,W
New York Knicks,Chicago Stags,07 January 1948,L
St. Louis Bombers,Washington Capitols,08 January 1948,W
Baltimore Bullets,Chicago Stags,08 January 1948,W
Philadelphia Warriors,Chicago Stags,09 January 1948,L
Providence Steamrollers,Boston Celtics,10 January 1948,W
Washington Capitols,Philadelphia Warriors,10 January 1948,W
Chicago Stags,New York Knicks,11 January 1948,W
St. Louis Bombers,Baltimore Bullets,11 January 1948,W
Boston Celtics,Washington Capitols,11 January 1948,W
Washington Capitols,Chicago Stags,14 January 1948,W
St. Louis Bombers,New York Knicks,15 January 1948,L
Providence Steamrollers,Baltimore Bullets,15 January 1948,L
Boston Celtics,Chicago Stags,16 January 1948,W
Philadelphia Warriors,Baltimore Bullets,16 January 1948,W
Washington Capitols,New York Knicks,17 January 1948,W
Baltimore Bullets,Philadelphia Warriors,17 January 1948,L
St. Louis Bombers,Providence Steamrollers,18 January 1948,W
Chicago Stags,Boston Celtics,18 January 1948,W
New York Knicks,Philadelphia Warriors,19 January 1948,L
Philadelphia Warriors,St. Louis Bombers,20 January 1948,W
Washington Capitols,St. Louis Bombers,21 January 1948,W
Chicago Stags,Providence Steamrollers,22 January 1948,L
Baltimore Bullets,St. Louis Bombers,22 January 1948,L
Philadelphia Warriors,Boston Celtics,22 January 1948,L
Boston Celtics,New York Knicks,23 January 1948,L
Washington Capitols,Providence Steamrollers,24 January 1948,W
New York Knicks,Baltimore Bullets,24 January 1948,L
St. Louis Bombers,Boston Celtics,25 January 1948,W
Chicago Stags,Baltimore Bullets,27 January 1948,W
Boston Celtics,Philadelphia Warriors,27 January 1948,L
Providence Steamrollers,St. Louis Bombers,27 January 1948,L
New York Knicks,Providence Steamrollers,28 January 1948,W
Philadelphia Warriors,New York Knicks,29 January 1948,L
St. Louis Bombers,Chicago Stags,29 January 1948,W
Baltimore Bullets,Washington Capitols,30 January 1948,W
Boston Celtics,Providence Steamrollers,30 January 1948,L
Washington Capitols,Chicago Stags,31 January 1948,W
St. Louis Bombers,Philadelphia Warriors,31 January 1948,L
New York Knicks,Boston Celtics,31 January 1948,W
Providence Steamrollers,Baltimore Bullets,31 January 1948,L
Chicago Stags,Philadelphia Warriors,01 February 1948,L
Providence Steamrollers,New York Knicks,03 February 1948,L
New York Knicks,Providence Steamrollers,04 February 1948,W
Washington Capitols,Baltimore Bullets,04 February 1948,W
St. Louis Bombers,Chicago Stags,05 February 1948,L
Baltimore Bullets,Providence Steamrollers,05 February 1948,W
Philadelphia Warriors,Washington Capitols,05 February 1948,L
Boston Celtics,New York Knicks,06 February 1948,L
Providence Steamrollers,Washington Capitols,07 February 1948,L
St. Louis Bombers,Philadelphia Warriors,07 February 1948,W
New York Knicks,Boston Celtics,08 February 1948,W
Chicago Stags,Philadelphia Warriors,08 February 1948,W
Washington Capitols,Providence Steamrollers,10 February 1948,W
Chicago Stags,St. Louis Bombers,11 February 1948,L
New York Knicks,Providence Steamrollers,11 February 1948,W
St. Louis Bombers,Chicago Stags,12 February 1948,L
Baltimore Bullets,New York Knicks,12 February 1948,W
Philadelphia Warriors,Boston Celtics,12 February 1948,W
Boston Celtics,Providence Steamrollers,13 February 1948,W
New York Knicks,Philadelphia Warriors,14 February 1948,W
Washington Capitols,Boston Celtics,14 February 1948,W
St. Louis Bombers,Baltimore Bullets,15 February 1948,W
Chicago Stags,Providence Steamrollers,15 February 1948,L
Washington Capitols,New York Knicks,18 February 1948,L
Philadelphia Warriors,Washington Capitols,19 February 1948,W
St. Louis Bombers,Providence Steamrollers,19 February 1948,W
Chicago Stags,New York Knicks,19 February 1948,W
Boston Celtics,Baltimore Bullets,19 February 1948,L
Washington Capitols,Baltimore Bullets,21 February 1948,W
Providence Steamrollers,Chicago Stags,21 February 1948,L
Boston Celtics,Chicago Stags,22 February 1948,L
St. Louis Bombers,New York Knicks,22 February 1948,W
Philadelphia Warriors,Baltimore Bullets,24 February 1948,W
Washington Capitols,Chicago Stags,25 February 1948,L
Baltimore Bullets,Washington Capitols,26 February 1948,W
